Alphestes afer
Alpheus armatus
Alpheus digitalis
Alpheus formosus
Alpheus glaber
Alpheus heterochaelis
Alpheus lottini
Alpheus normanni
Alsophis rufiventris
Alteromonas macleodii
Alteutha depressa
Altica quercetorum
Altolamprologus compressiceps
Aluterus schoepfii
Aluterus scriptus
Alypia octomaculata
Amalosia lesueurii
Amara aenea
Amara aulica
Amara bifrons
Amara communis
Amara consularis
Amara convexior
Amara equestris
Amara eurynota
Amara familiaris
Amara lunicollis
Amara montivaga
Amara plebeja
Amara quenseli
Amara similata
Amara sinuosa
Amara tricuspidata
Amastridium sapperi
Amastridium veliferum
Amathia distans
Amaurobius fenestralis
Amauropsis rossiana
Amaurornis phoenicurus
Amazilia tzacatl
Amazona aestiva
Amazonetta brasiliensis
Ambassis interrupta
Ambloplites rupestris
Amblycerus championi
Amblycerus perfectus
Amblycerus pterocarpae
Amblycerus tachigaliae
Amblycerus vegai
Amblychaeturichthys hexanema
Amblycirrhitus pinos
Amblyodipsas concolor
Amblyodipsas katangensis
Amblyodipsas microphthalma
Amblyodipsas polylepis
Amblyodipsas unicolor
Amblyodipsas ventrimaculata
Amblyomma tuberculatum
Amblyopsis spelaea
Amblyraja radiata
Amblyrhynchus cristatus
Amblyseius similifloridanus
Amblytylus nasutus
Ambystoma californiense
Ambystoma gracile
Ambystoma jeffersonianum
Ambystoma maculatum
Ambystoma mexicanum
Ambystoma opacum
Ambystoma ordinarium
Ambystoma talpoideum
Ambystoma texanum
Ambystoma tigrinum
Ambystoma velasci
Ameiurus brunneus
Ameiurus catus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Ameiva ameiva
Ameiva auberi
Ameiva chrysolaema
Ameiva erythrocephala
Ameiva exsul
Ameiva lineolata
Ameiva taeniura
Ameivula nativo
Ameivula ocellifera
Ameletopsis perscitus
Americamysis bigelowi
Americardia biangulata
Americoliva sayana
Americonuphis magna
Ameritella agilis
Ameritella carpenteri
Amerotyphlops brongersmianus
Amerotyphlops microstomus
