Ambystoma talpoideum
Ambystoma texanum
Ambystoma tigrinum
Ambystoma velasci
Ameiurus brunneus
Ameiurus catus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Ameiva ameiva
Ameiva auberi
Ameiva chrysolaema
Ameiva erythrocephala
Ameiva exsul
Ameiva lineolata
Ameiva taeniura
Ameivula nativo
Ameivula ocellifera
Ameletopsis perscitus
Americamysis bigelowi
Americardia biangulata
Americoliva sayana
Americonuphis magna
Ameritella agilis
Ameritella carpenteri
Amerotyphlops brongersmianus
Amerotyphlops microstomus
Amerus polonicus
Amia calva
Amietia angolensis
Amietia fuscigula
Amietophrynus camerunensis
Amietophrynus garmani
Amietophrynus gutturalis
Amietophrynus maculatus
Amietophrynus pantherinus
Amietophrynus rangeri
Amietophrynus regularis
Amietophrynus steindachneri
Amioides polyacanthus
Amischa analis
Amischa decipiens
Ammodytes americanus
Ammodytes dubius
Ammodytes hexapterus
Ammodytes marinus
Ammodytes personatus
Ammodytes tobianus
Ammodytoides leptus
Ammospermophilus harrisii
Ammospermophilus leucurus
Ammospermophilus nelsoni
Ammothea carolinensis
Amniataba percoides
Amorpha juglandis
Amoya moloanus
Ampelisca brevicornis
Ampelisca diadema
Ampelisca eschrichti
Ampelisca macrocephala
Ampelisca richardsoni
Ampelisca typica
Ampelisca vadorum
Ampharete acutifrons
Ampharete finmarchica
Ampharete vega
Amphiarius phrygiatus
Amphiarius rugispinis
Amphibola crenata
Amphibolurus muricatus
Amphicteis gunneri
Amphidinium carterae
Amphidinium carterea
Amphidinium hadai
Amphiesma stolatum
Amphilochus neapolitanus
Amphilophium crucigerum
Amphilophium paniculatum
Amphimallon majale
Amphimallon solstitiale
Amphinemura sulcicollis
Amphioctopus membranaceus
Amphipholis squamata
Amphipoea americana
Amphipoea velata
Amphiprora paludosa var. duplex
Amphipyra pyramidoides
Amphisbaena alba
Amphisbaena anomala
Amphisbaena cegei
Amphisbaena darwinii
Amphisbaena fenestrata
Amphisbaena fuliginosa
Amphisbaena hiata
Amphisbaena ibijara
Amphisbaena mertensii
Amphisbaena microcephalum
Amphisbaena mitchelli
Amphisbaena polystegum
Amphisbaena pretrei
Amphisbaena prunicolor
Amphisbaena roberti
Amphisbaena steindachneri
Amphisbaena trachura
Amphisbaena vermicularis
Amphisbaena wuchereri
Amphispiza bilineata
